stn,amendment_type,depth_name,depth_no,depth_m,substrate,timepoint,time_d,time_h,replicate,FISH_probe,cells_ml,substratecells_ml,dapifish_ml,dapifishsubstrate_ml
stn19,amend,dC,d6,4325,lam,t0,0,0,1,PLA46,21103.24366,527.5810914,263.7905457,0
stn19,amend,dC,d6,4325,lam,t0,0,0,1,CF319a,20810.14305,146.5503032,0,0
stn19,amend,dC,d6,4325,lam,t1,3,72,1,EUB1,1709362.736,277.6742586,1152764.685,0
stn19,amend,dC,d6,4325,lam,t1,3,72,1,EUB3,1540254.154,188.4218183,376.8436367,0
stn19,amend,dC,d6,4325,lam,t1,3,72,1,GAM42a,1733414.227,155.1709092,6672.349097,0
stn19,amend,dC,d6,4325,lam,t1,3,72,1,PLA46,1602841.601,125.6145456,79639.62189,0
stn19,amend,dC,d6,4325,lam,t1,3,72,1,CF319a,1697264.756,272.8867714,2819.829971,0
stn19,amend,dC,d6,4325,lam,t2,5,120,1,EUB1,1747815.131,1765.232087,1112802.308,1882.914226
stn19,amend,dC,d6,4325,lam,t2,5,120,1,EUB3,1689356.528,308.9156152,514.8593587,102.9718717
stn19,amend,dC,d6,4325,lam,t2,5,120,1,GAM42a,1738314.972,1597.624192,34948.0292,0
stn19,amend,dC,d6,4325,lam,t2,5,120,1,PLA46,1836625.918,1569.095189,102148.0968,156.9095189
stn19,amend,dC,d6,4325,lam,t2,5,120,1,CF319a,1765264.551,227.2482687,8749.058344,0
stn19,amend,dC,d6,4325,lam,t3,10,240,1,EUB1,,,,
stn19,amend,dC,d6,4325,lam,t3,10,240,1,EUB3,2743376.607,1235.662461,411.887487,0
stn19,amend,dC,d6,4325,lam,t3,10,240,1,GAM42a,2781258.142,969.1470282,353351.0065,0
stn19,amend,dC,d6,4325,lam,t3,10,240,1,PLA46,2842977.505,1560.836793,693.7052413,0
stn19,amend,dC,d6,4325,lam,t3,10,240,1,CF319a,2664732.959,2435.508619,109024.827,143.2652129
stn19,amend,dC,d6,4325,lam,t4,15,360,1,EUB1,3169586.545,5391.981648,1122281.069,3894.208968
stn19,amend,dC,d6,4325,lam,t4,15,360,1,EUB3,2952762.553,3883.510592,117.6821391,0
stn19,amend,dC,d6,4325,lam,t4,15,360,1,GAM42a,3273484.041,2767.883913,462632.0254,131.8039958
stn19,amend,dC,d6,4325,lam,t4,15,360,1,PLA46,3072971.397,9788.384985,1841.379354,0
stn19,amend,dC,d6,4325,lam,t4,15,360,1,CF319a,2661813.078,8630.023537,239600.8353,1569.095189
stn20,amend,dC,d7,5580,lam,t0,0,0,1,EUB1,12002.46983,263.7905457,923.2669099,0
stn20,amend,dC,d7,5580,lam,t0,0,0,1,EUB3,9797.934554,0,0,0
stn20,amend,dC,d7,5580,lam,t0,0,0,1,GAM42a,10551.62183,405.8316088,202.9158044,202.9158044
stn20,amend,dC,d7,5580,lam,t0,0,0,1,PLA46,20223.94184,0,0,0
stn20,amend,dC,d7,5580,lam,t0,0,0,1,CF319a,10258.52122,146.5503032,146.5503032,146.5503032
stn20,amend,dC,d7,5580,lam,t1,3,72,1,EUB1,34392.60516,205.9437435,13386.34333,0
stn20,amend,dC,d7,5580,lam,t1,3,72,1,EUB3,45682.06674,149.777268,149.777268,149.777268
stn20,amend,dC,d7,5580,lam,t1,3,72,1,GAM42a,31752.78082,0,599.109072,0
stn20,amend,dC,d7,5580,lam,t1,3,72,1,PLA46,33362.88645,0,411.887487,0
stn20,amend,dC,d7,5580,lam,t1,3,72,1,CF319a,29289.77685,0,0,0
stn20,amend,dC,d7,5580,lam,t3,10,240,1,EUB1,2001048.265,263.6079917,1217605.314,263.6079917
stn20,amend,dC,d7,5580,lam,t3,10,240,1,EUB3,2008306.575,0,113.6241343,0
stn20,amend,dC,d7,5580,lam,t3,10,240,1,GAM42a,2076523.138,122.0407369,155846.021,0
stn20,amend,dC,d7,5580,lam,t3,10,240,1,PLA46,1982277.179,274.591658,1372.95829,0
stn20,amend,dC,d7,5580,lam,t3,10,240,1,CF319a,2278508.431,106.293545,21258.70901,0
stn20,amend,dC,d7,5580,lam,t4,15,360,1,EUB1,2659035.779,659.0199792,1218857.452,439.3466528
stn20,amend,dC,d7,5580,lam,t4,15,360,1,EUB3,2594341.985,366.1222107,732.2444213,0
stn20,amend,dC,d7,5580,lam,t4,15,360,1,GAM42a,2664676.677,353.0464174,735278.0054,0
stn20,amend,dC,d7,5580,lam,t4,15,360,1,PLA46,2716870.885,244.0814738,2684.896212,0
stn20,amend,dC,d7,5580,lam,t4,15,360,1,CF319a,2253975.063,0,147392.353,0
