stn,amendment_type,depth_name,depth_no,depth_m,substrate,timepoint,time_d,time_h,replicate,FISH_probe,cells_ml,substratecells_ml,dapifish_ml,dapifishsubstrate_ml
stn19,unamend,DCM,d2,33,lam,t4,10,240,2,EUB3,951223.8823,2660.022042,5852.048493,620.6718099
stn19,unamend,DCM,d2,33,lam,t4,10,240,2,GAM42a,1048611.023,4400.703133,576683.4454,1817.681729
stn19,unamend,DCM,d2,33,lam,t4,10,240,2,PLA46,977209.1514,2697.205146,19466.78497,820.8885227
stn19,unamend,DCM,d2,33,lam,t4,10,240,2,CF319a,1010439.706,2774.356323,119775.6592,956.6745941
stn20,unamend,DCM,d2,64,lam,t0,0.2,5,1,EUB1,461691.1591,15544.31272,27954.69142,6643.940112
stn20,unamend,DCM,d2,64,lam,t0,0.2,5,1,EUB3,500928.013,16797.88632,18051.45993,7145.369555
stn20,unamend,DCM,d2,64,lam,t0,0.2,5,1,GAM42a,459759.8723,17608.79175,20562.52456,6134.675835
stn20,unamend,DCM,d2,64,lam,t0,0.2,5,1,PLA46,467529.7732,13329.66601,13880.47866,2754.063226
stn20,unamend,DCM,d2,64,lam,t0,0.2,5,1,CF319a,499976.0806,17154.37132,55893.71316,4430.599214
stn20,unamend,DCM,d2,64,lam,t1,1,24,1,EUB1,434934.8841,10615.2613,67472.34578,6107.410609
stn20,unamend,DCM,d2,64,lam,t1,1,24,1,EUB3,476655.3296,13104.21712,13949.65048,6509.836889
stn20,unamend,DCM,d2,64,lam,t1,1,24,1,GAM42a,475056.466,10906.09037,126275.4189,5132.277823
stn20,unamend,DCM,d2,64,lam,t1,1,24,1,PLA46,506277.8227,14541.45383,16038.3682,7591.494279
stn20,unamend,DCM,d2,64,lam,t1,1,24,1,CF319a,516986.9507,14637.12129,21333.84345,7175.059456
stn20,unamend,DCM,d2,64,lam,t2,3,72,1,EUB1,822099.4015,16824.12391,159364.1888,3550.820122
stn20,unamend,DCM,d2,64,lam,t2,3,72,1,EUB3,819487.4573,13393.44432,9375.411023,2583.021404
stn20,unamend,DCM,d2,64,lam,t2,3,72,1,GAM42a,853064.0022,16618.80438,96389.06539,3946.96604
stn20,unamend,DCM,d2,64,lam,t2,3,72,1,PLA46,784855.837,10906.09037,10332.08562,669.6722159
stn20,unamend,DCM,d2,64,lam,t2,3,72,1,CF319a,821245.9164,13243.10974,15407.01656,1298.344092
stn20,unamend,DCM,d2,64,lam,t3,7,168,1,EUB1,1048243.071,99133.56506,261885.9906,82215.14281
stn20,unamend,DCM,d2,64,lam,t3,7,168,1,EUB3,1119821.779,131911.7598,1558.01291,908.8408644
stn20,unamend,DCM,d2,64,lam,t3,7,168,1,GAM42a,1096529.486,126718.3834,198179.2422,20981.24053
stn20,unamend,DCM,d2,64,lam,t3,7,168,1,PLA46,1167741.966,142727.5305,8377.141881,1580.592808
stn20,unamend,DCM,d2,64,lam,t3,7,168,1,CF319a,1032912.301,133922.099,195371.4684,121256.9618
stn20,unamend,DCM,d2,64,lam,t4,10,240,3,EUB1,1048438.821,13814.38114,149569.2394,6232.051642
stn20,unamend,DCM,d2,64,lam,t4,10,240,3,EUB3,1059543.204,10575.60279,8813.002322,1101.62529
stn20,unamend,DCM,d2,64,lam,t4,10,240,3,GAM42a,1045894.067,12602.59332,182737.6031,3877.721022
stn20,unamend,DCM,d2,64,lam,t4,10,240,3,PLA46,1000971.361,9451.94499,4362.436149,830.9402189
stn20,unamend,DCM,d2,64,lam,t4,10,240,3,CF319a,1054154.42,13026.71906,21105.30452,3332.416503
stn18,amend,dA,d2,104,lam,t0,0,0,1,EUB1,2218718.299,8872.954719,1452766.478,4876.128269
stn18,amend,dA,d2,104,lam,t0,0,0,1,EUB3,2238650.707,9853.352736,4732.712731,1163.781819
stn18,amend,dA,d2,104,lam,t0,0,0,1,GAM42a,2249813.609,7354.160668,1003683.058,959.238348
stn18,amend,dA,d2,104,lam,t0,0,0,1,PLA46,2299611.906,6487.821529,3065.673909,499.0631945
stn18,amend,dA,d2,104,lam,t0,0,0,1,CF319a,2168065.185,5129.260611,191541.2462,879.301819
stn18,amend,dA,d2,104,lam,t1,3,72,1,EUB1,3846785.585,4076.762979,497365.0834,359.7143805
stn18,amend,dA,d2,104,lam,t1,3,72,1,EUB3,3936769.521,4464.147696,2536.447555,101.4579022
stn18,amend,dA,d2,104,lam,t1,3,72,1,GAM42a,4104580.891,5783.100425,589064.5801,507.2895109
stn18,amend,dA,d2,104,lam,t1,3,72,1,PLA46,4139055.586,4184.263828,1819.245143,0
stn18,amend,dA,d2,104,lam,t1,3,72,1,CF319a,4337941.313,5087.389095,140751.0983,0
stn18,amend,dA,d2,104,lam,t2,5,120,1,EUB1,4012099.029,1241.367274,2638526.141,931.0254554
stn18,amend,dA,d2,104,lam,t2,5,120,1,EUB3,4179516.946,2344.804851,7034.414552,97.70020211
stn18,amend,dA,d2,104,lam,t2,5,120,1,GAM42a,4182746.195,1249.534164,1125413.77,138.8371293
stn18,amend,dA,d2,104,lam,t2,5,120,1,PLA46,4198163.727,1130.53091,4145.280004,0
stn18,amend,dA,d2,104,lam,t2,5,120,1,CF319a,4492352.993,2001.169657,2086856.103,272.8867714
stn18,amend,dA,d2,104,lam,t3,10,240,1,EUB1,613712.3556,2745.91658,348319.5182,0
