stn,depth_name,substrate,time_d,mean.cells,sd.cells,mean.selfish,sd.selfish,mean.percent,sd.percent
stn18,DCM,pul,7,242000,302402.0503,28600,38826.27976,10.74781886,2.520555124
stn18,DCM,pul,10,254666.6667,250603.9372,23666.66667,23167.29016,9.316575974,0.106149466
stn18,DCM,pul,15,NA,NA,NA,NA,NA,NA
stn18,DCM,pul,30,NA,NA,NA,NA,NA,NA
stn18,DCM,xyl,0.2,518000,49365.98019,NA,NA,NA,NA
stn18,DCM,xyl,1,361333.3333,120101.3461,NA,NA,NA,NA
stn18,DCM,xyl,3,625000,58025.85631,NA,NA,NA,NA
stn18,DCM,xyl,5,NA,NA,NA,NA,NA,NA
stn18,DCM,xyl,7,412333.3333,65248.24391,NA,NA,NA,NA
stn18,DCM,xyl,10,421000,158644.2561,NA,NA,NA,NA
stn18,DCM,xyl,15,NA,NA,NA,NA,NA,NA
stn18,DCM,xyl,30,NA,NA,NA,NA,NA,NA
stn19,bottom,ara,0.2,26000,1808.314132,159.4333333,91.54923994,0.630249435,0.40043303
stn19,bottom,ara,2,25066.66667,2830.783166,320.6666667,146.8888469,1.322059771,0.708661843
stn19,bottom,ara,3,17600,655.7438524,858.6666667,278.5324637,4.894521891,1.614091253
stn19,bottom,ara,7,22966.66667,4944.019957,527.6666667,159.6381325,2.314463796,0.517066965
stn19,bottom,ara,10,32666.66667,9650.043178,2970.333333,2678.180415,8.26435424,5.821947775
stn19,bottom,chn,0.2,27333.33333,1327.905619,68.4,100.6721411,0.262874378,0.391794836
stn19,bottom,chn,2,26900,1587.450787,98.46666667,64.85717642,0.359001307,0.21710194
stn19,bottom,chn,3,16266.66667,305.5050463,425.6666667,229.3476255,2.634241906,1.457646179
stn19,bottom,chn,7,28566.66667,3208.322511,640.6666667,622.9737822,2.263879776,2.204767501
stn19,bottom,chn,10,41000,16889.34575,579,142.8180661,1.639129742,0.828026858
stn19,bottom,control,0.2,29537.32813,NA,NA,NA,NA,NA
stn19,bottom,control,2,22935.83857,NA,NA,NA,NA,NA
stn19,bottom,control,3,17740.57369,NA,NA,NA,NA,NA
stn19,bottom,control,7,23366.61204,NA,NA,NA,NA,NA
stn19,bottom,control,10,92263.01752,NA,NA,NA,NA,NA
stn19,bottom,fuc,0.2,30533.33333,6994.521666,808,342.409112,2.569314859,0.512029691
stn19,bottom,fuc,2,25100,1708.800749,521.6666667,172.7898531,2.076625939,0.649741981
stn19,bottom,fuc,3,20466.66667,7159.841711,946,631.4720896,4.312441379,1.342571403
stn19,bottom,fuc,7,26633.33333,3444.318994,1085.666667,537.3958814,3.958568443,1.453518697
stn19,bottom,fuc,10,40600,16887.56939,2556.666667,1570.679259,5.989282702,1.11371357
stn19,bottom,lam,0.2,27166.66667,3955.165399,634,288.1995836,2.272534521,0.71860841
stn19,bottom,lam,2,25400,1135.781669,1184.333333,331.6418751,4.665145408,1.271996356
stn19,bottom,lam,3,30600,1212.435565,1183.666667,210.2387532,3.853976212,0.543070646
stn19,bottom,lam,7,17800,1410.673598,1155.333333,457.1272616,6.380109352,2.135210814
stn19,bottom,lam,10,48033.33333,21697.31166,18603.33333,19370.3958,32.76944494,21.16003459
stn19,bottom,pul,0.2,27166.66667,2050.203242,1399,462.9179193,5.080865307,1.382937533
stn19,bottom,pul,2,24233.33333,1644.181661,1706.666667,406.7349669,7.057501852,1.764750971
stn19,bottom,pul,3,15133.33333,1703.917056,1143.333333,189.2969449,7.544174154,0.708978678
stn19,bottom,pul,7,23666.66667,2676.440422,2553.333333,693.4935712,10.69282101,2.196565672
stn19,bottom,pul,10,43666.66667,19397.50843,5773.333333,338.575447,14.9784158,5.937291241
stn19,bottom,xyl,0.2,26833.33333,850.4900548,NA,NA,NA,NA
stn19,bottom,xyl,2,24100,3278.719262,NA,NA,NA,NA
stn19,bottom,xyl,3,28000,2253.885534,NA,NA,NA,NA
stn19,bottom,xyl,7,26600,5002.999101,NA,NA,NA,NA
stn19,bottom,xyl,10,77233.33333,20183.24388,NA,NA,NA,NA
stn19,DCM,ara,0.2,691000,79504.71684,537.6666667,408.6249299,0.080397701,0.060221885
stn19,DCM,ara,2,2043333.333,336204.303,4746.666667,2933.007558,0.223257347,0.107031205
stn19,DCM,ara,3,2193333.333,317227.5734,4230,3299.151406,0.183701691,0.118330202
stn19,DCM,ara,7,1943333.333,176729.5486,3317,2265.388929,0.174353123,0.118915465
stn19,DCM,ara,10,982000,402730.6792,1003.433333,800.7224009,0.089113955,0.068819928
stn19,DCM,ara,15,NA,NA,NA,NA,NA,NA
stn19,DCM,ara,30,NA,NA,NA,NA,NA,NA
stn19,DCM,chn,0.2,682666.6667,44881.325,720.3333333,175.2436399,0.104762304,0.020097433
stn19,DCM,chn,2,2100000,134536.2405,20428.66667,33248.98292,0.99283461,1.613109141
stn19,DCM,chn,3,2146666.667,97125.34856,13411.66667,21640.53152,0.655258562,1.062695023
stn19,DCM,chn,7,2046666.667,258907.9631,13123.33333,19379.46422,0.573792254,0.817002441
stn19,DCM,chn,10,1273333.333,145716.62,1656.666667,542.2484056,0.128411767,0.029689445
stn19,DCM,chn,15,NA,NA,NA,NA,NA,NA
stn19,DCM,chn,30,NA,NA,NA,NA,NA,NA
stn19,DCM,control,0.2,1117209.259,NA,NA,NA,NA,NA
stn19,DCM,control,2,1447730.037,NA,NA,NA,NA,NA
