,X,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
262,stn18-d4-bulk-xyl-t3,0,0.18050158,0.183272604,0.055336518,0.139703568,0.073077143,0,0,0,0,0,0
263,stn18-d4-bulk-xyl-t4,0,2.279396304,4.105283306,4.303562652,3.562747421,1.115827604,0,2.279396304,4.105283306,4.303562652,3.562747421,1.115827604
264,stn18-d4-bulk-xyl-t5,0,2.302797747,2.599894443,2.642918586,2.515203592,0.185202461,0,2.302797747,2.599894443,2.642918586,2.515203592,0.185202461
265,stn18-d5-bulk-ara-t0,0,0,0,0,0,0,0,0,0,0,0,0
266,stn18-d5-bulk-ara-t1,0.049622254,2.912238214,3.890558331,3.622347708,3.475048085,0.505519977,0,0,0,0,0,0
267,stn18-d5-bulk-ara-t2,0.012099225,0.805796996,1.071427229,1.445907827,1.107710684,0.32159421,0,0,0,0,0,0
268,stn18-d5-bulk-ara-t3,0.046845124,0.053857341,0.763985084,0.882838272,0.566893566,0.448259017,0,0,0,0,0,0
269,stn18-d5-bulk-ara-t4,0.017714121,0.173343569,0.431823539,0.53878707,0.381318059,0.187883849,0,0,0,0,0,0
270,stn18-d5-bulk-ara-t5,0.003412147,0.131594232,0.161250204,0.123305922,0.138716786,0.019949692,0,0,0,0,0,0
271,stn18-d5-bulk-chn-t0,0,0,0,0,0,0,0,0,0,0,0,0
272,stn18-d5-bulk-chn-t1,0.758169005,1.072329245,2.016357299,0.093890392,1.060858979,0.96128478,0,0,0,0,0,0
273,stn18-d5-bulk-chn-t2,0.456492569,1.932243035,0.003865947,0.03455248,0.656887154,1.104597159,0,0,0,0,0,0
274,stn18-d5-bulk-chn-t3,0.226767089,0.518469056,0.817421988,0.408842392,0.581577812,0.211474249,0,0.291701967,0.590654899,0.182075303,0.354810723,0.211474249
275,stn18-d5-bulk-chn-t4,0.149057073,0.310528882,0.682117036,0.255771014,0.416138977,0.231965195,0,0.16147181,0.533059963,0.106713941,0.267081905,0.231965195
276,stn18-d5-bulk-chn-t5,0.074774357,0.357283518,0.388795751,0.435442457,0.393840575,0.039322927,0,0.282509162,0.314021395,0.3606681,0.319066219,0.039322927
277,stn18-d5-bulk-fuc-t0,0,0,0,0,0,0,0,0,0,0,0,0
278,stn18-d5-bulk-fuc-t1,2.70784022,0.012569872,0.157111858,1.865051142,0.678244291,1.030342649,0,0,0,0,0,0
279,stn18-d5-bulk-fuc-t2,1.828558184,0.010240687,0.356866255,2.060896399,0.809334447,1.09765332,0,0,0,0,0,0
280,stn18-d5-bulk-fuc-t3,1.353029608,0.001977089,0.823311739,1.087551076,0.637613302,0.566110106,0,0,0,0,0,0
281,stn18-d5-bulk-fuc-t4,0.546794983,0.000169745,0.874044303,0.93432479,0.602846279,0.522802724,0,0,0,0,0,0
