,X,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
417,stn19-dA-LV-A3-lam-t2,0.730663465,6.327526136,6.724535381,6.745399911,6.599153809,0.235467677,0,5.59686267,5.993871916,6.014736445,5.868490344,0.235467677
418,stn19-dA-LV-A3-lam-t3,0.95656894,3.880405664,4.590963581,4.344480179,4.271949808,0.360788899,0,2.923836724,3.634394641,3.387911239,3.315380868,0.360788899
419,stn19-dA-LV-A3-lam-t4,2.641055697,2.777710941,3.089053496,2.94008817,2.935617535,0.155719416,0,0.136655244,0.447997799,0.299032473,0.294561839,0.155719416
420,stn19-dA-LV-A3-lam-t5,1.643055052,1.512608513,1.651853265,1.58217707,1.582212949,0.069622383,0,0,0.008798213,0,0.002932738,0.005079651
421,stn19-dA-LV-A3-pul-t0,0,0,0,0,0,0,0,0,0,0,0,0
422,stn19-dA-LV-A3-pul-t1,7.035853199,0.049329725,0.453247485,2.929881086,1.144152765,1.559617458,0,0,0,0,0,0
423,stn19-dA-LV-A3-pul-t2,3.014700662,0.084243425,0.073281646,0.968964043,0.375496371,0.513987303,0,0,0,0,0,0
424,stn19-dA-LV-A3-pul-t3,1.278268252,0.057598416,0.144100322,0.40959046,0.203763066,0.183423914,0,0,0,0,0,0
425,stn19-dA-LV-A3-pul-t4,1.505107256,0.228579596,0.281636492,0.397571596,0.302595895,0.086423645,0,0,0,0,0,0
426,stn19-dA-LV-A3-pul-t5,0.621343839,0.287735909,0.207508989,0.310493293,0.268579397,0.054098712,0,0,0,0,0,0
427,stn19-dA-LV-A3-xyl-t0,0,0,0,0,0,0,0,0,0,0,0,0
428,stn19-dA-LV-A3-xyl-t1,0.104156187,0.549516387,6.414985522,0.637420779,2.533974229,3.361341739,0,0,0,0,0,0
429,stn19-dA-LV-A3-xyl-t2,0.111554986,0.628793042,0.358818035,0.495050189,0.494220422,0.134989416,0,0,0,0,0,0
430,stn19-dA-LV-A3-xyl-t3,0.103753251,1.014597428,0.460713694,0.429926513,0.635079212,0.329032704,0,0.910844177,0.356960443,0.326173262,0.531325961,0.329032704
431,stn19-dA-LV-A3-xyl-t4,0.306061608,2.599631131,0.902346185,0.401466059,1.301147792,1.152069643,0,2.293569523,0.596284577,0.095404451,0.995086183,1.152069643
432,stn19-dA-LV-A3-xyl-t5,0.119338794,1.434364152,1.65845458,1.952463837,1.681760856,0.259834962,0,1.315025358,1.539115786,1.833125043,1.562422063,0.259834962
433,stn19-dB-LV-A1-ara-t0,0,0,0,0,0,0,0,0,0,0,0,0
434,stn19-dB-LV-A1-ara-t1,0.038382716,0.15035025,0.394726648,0.061243432,0.202106777,0.17266099,0,0,0,0,0,0
435,stn19-dB-LV-A1-ara-t2,0.03420725,0.602767114,0.877619838,0.523493238,0.667960063,0.185846718,0,0,0,0,0,0
436,stn19-dB-LV-A1-ara-t3,0.031941977,0.222798484,0.381867229,0.618018046,0.407561253,0.19885865,0,0,0,0,0,0
437,stn19-dB-LV-A1-ara-t4,0.912277293,0.414426625,0.240422849,0.400970733,0.351940069,0.09681081,0,0,0,0,0,0
438,stn19-dB-LV-A1-ara-t5,0.096339076,0.192530411,0.10307764,0.121258173,0.138955408,0.047279421,0,0,0,0,0,0
439,stn19-dB-LV-A1-chn-t0,0,0,0,0,0,0,0,0,0,0,0,0
440,stn19-dB-LV-A1-chn-t1,0.015586153,0.795840379,1.4354772,0.005667971,0.74566185,0.716224142,0,0.780254226,1.419891047,0,0.733381758,0.711105068
441,stn19-dB-LV-A1-chn-t2,0.062098206,5.188805731,5.776700394,1.891411815,4.285639313,2.094194121,0,5.126707525,5.714602188,1.829313609,4.223541107,2.094194121
442,stn19-dB-LV-A1-chn-t3,0.504750461,3.578006409,3.782896966,2.551742892,3.304215422,0.659663715,0,3.073255948,3.278146504,2.04699243,2.799464961,0.659663715
443,stn19-dB-LV-A1-chn-t4,1.849968569,2.960586278,3.060353516,1.980248907,2.6670629,0.596886481,0,1.110617709,1.210384947,0.130280338,0.817094332,0.596886481
444,stn19-dB-LV-A1-chn-t5,1.032953218,1.817838485,1.820138976,1.584626099,1.740867853,0.135314217,0,0.784885266,0.787185758,0.55167288,0.707914635,0.135314217
445,stn19-dB-LV-A1-fuc-t0,0,0,0,0,0,0,0,0,0,0,0,0
446,stn19-dB-LV-A1-fuc-t1,2.327743221,6.632495336,0.005232025,0.981310116,2.539679159,3.577924022,0,0,0,0,0,0
447,stn19-dB-LV-A1-fuc-t2,3.732219889,5.637898853,0.209202075,0.52029742,2.122466116,3.048425098,0,0,0,0,0,0
448,stn19-dB-LV-A1-fuc-t3,0.955822364,0.621337449,0.282358698,0.858280291,0.58732548,0.28946335,0,0,0,0,0,0
449,stn19-dB-LV-A1-fuc-t4,2.261243759,2.15423067,0.287387709,0.678519996,1.040046125,0.984531115,0,0,0,0,0,0
450,stn19-dB-LV-A1-fuc-t5,0.664361894,1.029780108,0.258167253,0.458795976,0.582247779,0.400345925,0,0,0,0,0,0
451,stn19-dB-LV-A1-lam-t0,0,0,0,0,0,0,0,0,0,0,0,0
452,stn19-dB-LV-A1-lam-t1,1.196847666,0.01429773,1.163302952,1.764758017,0.980786233,0.889388593,0,0,0,0,0,0
453,stn19-dB-LV-A1-lam-t2,0.737668437,0.18731561,0.415919755,0.960247414,0.521160926,0.397067591,0,0,0,0,0,0
454,stn19-dB-LV-A1-lam-t3,0.341032642,2.205265273,2.618932755,2.73729083,2.520496286,0.279338687,0,1.864232631,2.277900113,2.396258188,2.179463644,0.279338687
455,stn19-dB-LV-A1-lam-t4,0.804803989,2.320568628,2.435602511,2.358158882,2.371443341,0.058656255,0,1.515764639,1.630798522,1.553354894,1.566639352,0.058656255
456,stn19-dB-LV-A1-lam-t5,1.493338756,1.598116942,1.570416124,1.605776652,1.591436573,0.018602748,0,0.104778186,0.077077368,0.112437896,0.098097817,0.018602748
457,stn19-dB-LV-A1-pul-t0,0,0,0,0,0,0,0,0,0,0,0,0
