Sample,Station,Amendment,Amendment_type,Depth,Mesocosm,Substrate,Replicate,IncubationTime
St20_LV_dB_M2_t4,20,LV,Amended,B,2,control,1,15
St20_LV_dB_M3_t4,20,LV,Amended,B,3,control,1,15
St20_LV_dB_M4_t4,20,LV,Unamended,B,4,control,1,15
St20_LV_dC_M1_t0,20,LV,Amended,C,1,control,1,0
St20_LV_dC_M2_t0,20,LV,Amended,C,2,control,1,0
St20_LV_dC_M3_t0,20,LV,Amended,C,3,control,1,0
St20_LV_dC_M4_t0,20,LV,Unamended,C,4,control,1,0
St20_LV_dC_M3_t1,20,LV,Amended,C,3,control,1,3
St20_LV_dC_M2_t1,20,LV,Amended,C,2,control,1,3
St20_LV_dC_M4_t1,20,LV,Unamended,C,4,control,1,3
St20_LV_dC_M1_t2,20,LV,Amended,C,1,control,1,5
St20_LV_dC_M2_t2,20,LV,Amended,C,2,control,1,5
St20_LV_dC_M3_t2,20,LV,Amended,C,3,control,1,5
St20_LV_dC_M4_t2,20,LV,Unamended,C,4,control,1,5
St20_LV_dC_M1_t3,20,LV,Amended,C,1,control,1,10
St20_LV_dC_M2_t3,20,LV,Amended,C,2,control,1,10
St20_LV_dC_M3_t3,20,LV,Amended,C,3,control,1,10
St20_LV_dC_M1_t4,20,LV,Amended,C,1,control,1,15
St20_LV_dC_M2_t4,20,LV,Amended,C,2,control,1,15
St20_LV_dC_M3_t4,20,LV,Amended,C,3,control,1,15
St20_LV_dC_M4_t4,20,LV,Unamended,C,4,control,1,15
