Sample,Station,Amendment,Depth,Depth_full,Mesocosm,Substrate,Replicate,IncubationTime
St19_dB_c3_2d,19,unamended,B,DCM,0,Chondroitin,3,2
St19_dB_c1_3d,19,unamended,B,DCM,0,Chondroitin,1,3
St19_dB_c2_3d,19,unamended,B,DCM,0,Chondroitin,2,3
St19_dB_c3_3d,19,unamended,B,DCM,0,Chondroitin,3,3
St19_dB_c1_10d,19,unamended,B,DCM,0,Chondroitin,1,10
St19_dB_c2_10d,19,unamended,B,DCM,0,Chondroitin,2,10
St19_dB_p1_2d,19,unamended,B,DCM,0,Pullulan,1,2
St19_dB_p2_2d,19,unamended,B,DCM,0,Pullulan,2,2
St19_dB_p3_2d,19,unamended,B,DCM,0,Pullulan,3,2
St19_dB_p1_3d,19,unamended,B,DCM,0,Pullulan,1,3
St19_dB_p2_3d,19,unamended,B,DCM,0,Pullulan,2,3
St19_dB_p3_3d,19,unamended,B,DCM,0,Pullulan,3,3
St19_dB_p1_10d,19,unamended,B,DCM,0,Pullulan,1,10
St19_dB_p2_10d,19,unamended,B,DCM,0,Pullulan,2,10
St19_dB_p3_10d,19,unamended,B,DCM,0,Pullulan,3,10
St19_dB_a1_2d,19,unamended,B,DCM,0,Arabinogalactan,1,2
St19_dB_a2_2d,19,unamended,B,DCM,0,Arabinogalactan,2,2
St19_dB_a3_2d,19,unamended,B,DCM,0,Arabinogalactan,3,2
St19_dB_a1_3d,19,unamended,B,DCM,0,Arabinogalactan,1,3
St19_dB_a2_3d,19,unamended,B,DCM,0,Arabinogalactan,2,3
St19_dB_a3_3d,19,unamended,B,DCM,0,Arabinogalactan,3,3
St19_dB_a2_10d,19,unamended,B,DCM,0,Arabinogalactan,2,10
St19_dB_a3_10d,19,unamended,B,DCM,0,Arabinogalactan,3,10
St19_dB_f1_2d,19,unamended,B,DCM,0,Fucoidan,1,2
St19_dB_f2_2d,19,unamended,B,DCM,0,Fucoidan,2,2
St19_dB_f3_2d,19,unamended,B,DCM,0,Fucoidan,3,2
St19_dB_f1_3d,19,unamended,B,DCM,0,Fucoidan,1,3
St19_dB_f2_3d,19,unamended,B,DCM,0,Fucoidan,2,3
St19_dB_f3_3d,19,unamended,B,DCM,0,Fucoidan,3,3
St19_dB_f1_10d,19,unamended,B,DCM,0,Fucoidan,1,10
St19_dB_f2_10d,19,unamended,B,DCM,0,Fucoidan,2,10
St19_dB_f3_10d,19,unamended,B,DCM,0,Fucoidan,3,10
St19_dB_n1_2d,19,unamended,B,DCM,0,Control,1,2
St19_dB_n1_3d,19,unamended,B,DCM,0,Control,1,3
St19_dB_n1_10d,19,unamended,B,DCM,0,Control,1,10
St20_dB_T0_I,20,unamended,B,DCM,0,Control,1,0
St20_dB_T0_II,20,unamended,B,DCM,0,Control,2,0
St20_dB_T0_III,20,unamended,B,DCM,0,Control,3,0
St20_dB_l1_1d,20,unamended,B,DCM,0,Laminarin,1,1
St20_dB_l2_1d,20,unamended,B,DCM,0,Laminarin,2,1
St20_dB_l3_1d,20,unamended,B,DCM,0,Laminarin,3,1
St20_dB_l1_3d,20,unamended,B,DCM,0,Laminarin,1,3
St20_dB_l2_3d,20,unamended,B,DCM,0,Laminarin,2,3
St20_dB_l3_3d,20,unamended,B,DCM,0,Laminarin,3,3
